,Unnamed: 0,LAU 1,LAU 2,Název obce,celkem,latitude,longitude,id,obec,Zeměpisná šířka,Zeměpisná délka,vzdalenost,cas_cesty,velikost_obce
0,430,CZ0321,566136.0,Brnířov,405.0,49.3825866,13.0495821,48342912,Domažlice,49.441922,12.92566,11.131235829721298,901,1
1,431,CZ0321,566136.0,Brnířov,405.0,49.3825866,13.0495821,48342939,Domažlice,49.444659,12.921506,11.55365401335889,967,1
2,432,CZ0321,566136.0,Brnířov,405.0,49.3825866,13.0495821,18230083,Domažlice,49.448316,12.933446,11.135534616325378,936,1
3,433,CZ0321,566136.0,Brnířov,405.0,49.3825866,13.0495821,76996,Klatovy,49.39138,13.299009,18.080485364720637,1487,1
4,434,CZ0321,566136.0,Brnířov,405.0,49.3825866,13.0495821,77143,Klatovy,49.401197,13.285167,17.175531849066715,1339,1
5,436,CZ0321,566136.0,Brnířov,405.0,49.3825866,13.0495821,77232,Klatovy,49.394499,13.295734,17.865582749643888,1377,1
6,437,CZ0321,566136.0,Brnířov,405.0,49.3825866,13.0495821,77313,Klatovy,49.390677,13.300219,18.16403031776506,1470,1
7,1243,CZ0325,559555.0,Úlice,481.0,49.760792,13.1481721,49778137,Plzeň,49.742957,13.334314,13.519242786186004,1145,1
8,1244,CZ0325,559555.0,Úlice,481.0,49.760792,13.1481721,574406,Plzeň,49.725431,13.363246,15.946698368978442,1490,1
9,1245,CZ0325,559555.0,Úlice,481.0,49.760792,13.1481721,49774301,Plzeň,49.732541,13.404855,18.708470039149,1712,1
10,1246,CZ0325,559555.0,Úlice,481.0,49.760792,13.1481721,49778099,Plzeň,49.741813,13.373587,16.33159943973334,1347,1
11,1247,CZ0325,559555.0,Úlice,481.0,49.760792,13.1481721,49778102,Plzeň,49.751505,13.413613,19.09633043239845,1577,1
12,1248,CZ0325,559555.0,Úlice,481.0,49.760792,13.1481721,49778145,Plzeň,49.739551,13.387443,17.35204018276396,1409,1
13,1249,CZ0325,559555.0,Úlice,481.0,49.760792,13.1481721,49778161,Plzeň,49.741232,13.372985,16.29730495505432,1284,1
14,1250,CZ0325,559555.0,Úlice,481.0,49.760792,13.1481721,520152,Plzeň,49.742189,13.366755,15.839430108388797,1204,1
15,1251,CZ0325,559555.0,Úlice,481.0,49.760792,13.1481721,49775961,Plzeň,49.770902,13.370677,16.02030678328939,1551,1
16,1252,CZ0325,559555.0,Úlice,481.0,49.760792,13.1481721,49776541,Plzeň,49.729175,13.371946,16.458735163512667,1414,1
17,1253,CZ0325,559555.0,Úlice,481.0,49.760792,13.1481721,110037545,Plzeň,49.758271,13.339468,13.743962815751289,1215,1
18,1254,CZ0325,559555.0,Úlice,481.0,49.760792,13.1481721,49777149,Plzeň,49.75016,13.37876,16.607030661137795,1231,1
19,1255,CZ0325,559555.0,Úlice,481.0,49.760792,13.1481721,49778064,Plzeň,49.73772,13.37167,16.261277240673877,1401,1
20,1257,CZ0325,559555.0,Úlice,481.0,49.760792,13.1481721,108005623,Plzeň,49.738348,13.396255,17.997736452352186,1516,1
21,1258,CZ0325,559555.0,Úlice,481.0,49.760792,13.1481721,108032060,Plasy,49.933261,13.381501,25.449573511776745,2595,1
22,1260,CZ0325,559555.0,Úlice,481.0,49.760792,13.1481721,102100675,Stříbro,49.759561,13.000928,10.577535641947849,1023,1
23,1261,CZ0325,559555.0,Úlice,481.0,49.760792,13.1481721,77348,Stříbro,49.754141,12.997562,10.844284269546476,961,1
24,1262,CZ0325,559555.0,Úlice,481.0,49.760792,13.1481721,523925,Plzeň,49.741343,13.375324,16.462216174371214,1310,1
25,1264,CZ0325,559555.0,Úlice,481.0,49.760792,13.1481721,110100549,Plzeň,49.76905,13.360222,15.257860229689229,1465,1
26,1265,CZ0325,559555.0,Úlice,481.0,49.760792,13.1481721,110100590,Plzeň,49.742957,13.334314,13.519242786186004,1145,1
27,1266,CZ0325,559555.0,Úlice,481.0,49.760792,13.1481721,181121379,Plzeň,49.745774,13.36506,15.670657124983888,1154,1
28,1755,CZ0327,541605.0,Brod nad Tichou,250.0,49.83560865,12.73091623825,478423,Mariánské Lázně,49.973212,12.701645,15.443751965938224,1352,1
29,1772,CZ0327,541605.0,Brod nad Tichou,250.0,49.83560865,12.73091623825,151011494,Mariánské Lázně,50.00406,12.702094,18.84428080983156,1654,1
30,2065,CZ0327,541605.0,Brod nad Tichou,250.0,49.83560865,12.73091623825,102100675,Stříbro,49.759561,13.000928,21.144657345643104,1582,1
31,2066,CZ0327,541605.0,Brod nad Tichou,250.0,49.83560865,12.73091623825,77348,Stříbro,49.754141,12.997562,21.175160074759663,1521,1
32,2068,CZ0327,541605.0,Brod nad Tichou,250.0,49.83560865,12.73091623825,520110,Tachov,49.802054,12.605744,9.724583940922232,1040,1
33,2845,CZ0321,553832.0,Křenovy,145.0,49.5395178,13.0219302,48342912,Domažlice,49.441922,12.92566,12.88879038764979,1030,1
34,2846,CZ0321,553832.0,Křenovy,145.0,49.5395178,13.0219302,48342939,Domažlice,49.444659,12.921506,12.801084319151766,1039,1
35,2847,CZ0321,553832.0,Křenovy,145.0,49.5395178,13.0219302,18230083,Domažlice,49.448316,12.933446,11.98686783559716,878,1
36,2848,CZ0321,553832.0,Křenovy,145.0,49.5395178,13.0219302,76996,Klatovy,49.39138,13.299009,25.928202463175275,2557,1
37,2849,CZ0321,553832.0,Křenovy,145.0,49.5395178,13.0219302,77143,Klatovy,49.401197,13.285167,24.461604649785983,2431,1
38,2851,CZ0321,553832.0,Křenovy,145.0,49.5395178,13.0219302,77232,Klatovy,49.394499,13.295734,25.524878912467734,2474,1
39,2852,CZ0321,553832.0,Křenovy,145.0,49.5395178,13.0219302,77313,Klatovy,49.390677,13.300219,26.04550408923785,2531,1
40,2870,CZ0321,553832.0,Křenovy,145.0,49.5395178,13.0219302,102100675,Stříbro,49.759561,13.000928,24.51439666540302,2104,1
41,2871,CZ0321,553832.0,Křenovy,145.0,49.5395178,13.0219302,77348,Stříbro,49.754141,12.997562,23.929448033123357,2044,1
42,3653,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,76996,Klatovy,49.39138,13.299009,16.824310289261156,1775,1
43,3654,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,77143,Klatovy,49.401197,13.285167,16.246275785616707,1671,1
44,3656,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,77232,Klatovy,49.394499,13.295734,16.596180744474648,1687,1
45,3657,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,77313,Klatovy,49.390677,13.300219,16.86404267015303,1749,1
46,3658,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,49778137,Plzeň,49.742957,13.334314,23.81860995207171,2076,1
47,3659,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,574406,Plzeň,49.725431,13.363246,21.6338745379219,1647,1
48,3660,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,49774301,Plzeň,49.732541,13.404855,22.394379127288808,1951,1
49,3661,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,49778099,Plzeň,49.741813,13.373587,23.40785044359293,1830,1
50,3662,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,49778102,Plzeň,49.751505,13.413613,24.5411726382589,2235,1
51,3663,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,49778145,Plzeň,49.739551,13.387443,23.13663476829207,1948,1
52,3664,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,49778161,Plzeň,49.741232,13.372985,23.34512526862749,1807,1
53,3665,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,520152,Plzeň,49.742189,13.366755,23.474928014744105,1829,1
54,3666,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,49775961,Plzeň,49.770902,13.370677,26.64837421935023,2242,1
55,3667,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,49776541,Plzeň,49.729175,13.371946,22.00930962686651,1654,1
56,3668,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,110037545,Plzeň,49.758271,13.339468,25.448639137459462,2075,1
57,3669,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,49777149,Plzeň,49.75016,13.37876,24.323384546404373,2009,1
58,3670,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,49778064,Plzeň,49.73772,13.37167,22.9593145369566,1768,1
59,3671,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,108005631,Blovice,49.582334,13.532377,11.918410025151374,1499,1
60,3672,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,108005623,Plzeň,49.738348,13.396255,23.012643317147035,2071,1
61,3674,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,479322,Rokycany,49.746143,13.600718,28.403638585952,2354,1
62,3677,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,523925,Plzeň,49.741343,13.375324,23.35082229412299,1833,1
63,3679,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,110100549,Plzeň,49.76905,13.360222,26.486619709502225,2273,1
64,3680,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,110100590,Plzeň,49.742957,13.334314,23.81860995207171,2076,1
65,3681,CZ0324,557722.0,Horšice,421.0,49.5314788,13.3869274,181121379,Plzeň,49.745774,13.36506,23.88054565980797,1879,1
66,4465,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,49774301,Plzeň,49.732541,13.404855,29.14555048846193,2744,1
67,4466,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,49778099,Plzeň,49.741813,13.373587,29.85264848553424,2941,1
68,4467,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,49778102,Plzeň,49.751505,13.413613,27.12314012866059,2585,1
69,4468,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,49778145,Plzeň,49.739551,13.387443,29.36262395424053,2774,1
70,4469,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,49778161,Plzeň,49.741232,13.372985,29.929281619717663,2926,1
71,4471,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,49775961,Plzeň,49.770902,13.370677,27.75416481509426,3065,1
72,4474,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,49777149,Plzeň,49.75016,13.37876,28.926188024456536,2764,1
73,4477,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,108005623,Plzeň,49.738348,13.396255,29.045599326221776,2813,1
74,4478,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,108032060,Plasy,49.933261,13.381501,20.0014738254884,2286,1
75,4479,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,479322,Rokycany,49.746143,13.600718,21.55545746119006,1798,1
76,4482,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,523925,Plzeň,49.741343,13.375324,29.80481426233349,2880,1
77,4484,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,110100549,Plzeň,49.76905,13.360222,28.454766290806276,3221,1
78,4486,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,181121379,Plzeň,49.745774,13.36506,29.96474650117037,2954,1
79,4622,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,47558407,Beroun,49.969317,14.069678,29.47689203981021,2666,1
80,4623,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,47558458,Hořovice,49.835236,13.906828,20.88258791221444,2207,1
81,4624,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,47558415,Beroun,49.961157,14.074402,29.715843425581152,2657,1
82,4625,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,47558504,Hořovice,49.836617,13.902164,20.51808969498068,2159,1
83,4672,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,69272,Rakovník,50.102083,13.737641,19.25664109011363,2156,1
84,4673,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,68951,Rakovník,50.104328,13.732979,19.405039738365307,2131,1
85,4674,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,68969,Nové Strašecí,50.152898,13.901215,29.592823109982355,3047,1
86,4675,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,107820218,Křivoklát,50.058465,13.895152,21.5761935280818,2468,1
87,4676,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,69167,Rakovník,50.102083,13.737641,19.25664109011363,2156,1
88,4677,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,110009487,Beroun,49.954371,14.050378,27.94183872027642,2527,1
89,4683,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,7820186,Rakovník,50.103607,13.720325,19.106854306717334,2105,1
90,4689,CZ0324,557773.0,Chlum,234.0,49.936067,13.660927,110012879,Beroun,49.961321,14.069959,29.40104853689307,2585,1
91,4858,CZ0322,556815.0,Nezdice na Šumavě,334.0,49.1732446,13.6121491,108004481,Vimperk,49.053406,13.772347,17.706528335585237,1687,1
92,4860,CZ0322,556815.0,Nezdice na Šumavě,334.0,49.1732446,13.6121491,60650443,Strakonice,49.265425,13.893624,22.86886271292869,2057,1
93,4876,CZ0322,556815.0,Nezdice na Šumavě,334.0,49.1732446,13.6121491,60650494,Volyně,49.1717,13.885104,19.843895801622857,1734,1
94,5265,CZ0322,556815.0,Nezdice na Šumavě,334.0,49.1732446,13.6121491,77003,Sušice,49.234701,13.521241,9.503651480947369,1000,1
95,5664,CZ0324,558095.0,Nekvasovy,169.0,49.434553,13.6257444,60650486,Blatná,49.426977,13.869082,17.61772285460315,1550,1
96,5665,CZ0324,558095.0,Nekvasovy,169.0,49.434553,13.6257444,60650443,Strakonice,49.265425,13.893624,27.022164139647312,2167,1
97,6068,CZ0324,558095.0,Nekvasovy,169.0,49.434553,13.6257444,76996,Klatovy,49.39138,13.299009,24.119820818671105,2082,1
98,6069,CZ0324,558095.0,Nekvasovy,169.0,49.434553,13.6257444,77143,Klatovy,49.401197,13.285167,24.913806773294887,2188,1
99,6070,CZ0324,558095.0,Nekvasovy,169.0,49.434553,13.6257444,77003,Sušice,49.234701,13.521241,23.477233646300927,2174,1
100,6071,CZ0324,558095.0,Nekvasovy,169.0,49.434553,13.6257444,77232,Klatovy,49.394499,13.295734,24.2853169580782,2095,1
101,6072,CZ0324,558095.0,Nekvasovy,169.0,49.434553,13.6257444,77313,Klatovy,49.390677,13.300219,24.04994363526983,2056,1
102,6086,CZ0324,558095.0,Nekvasovy,169.0,49.434553,13.6257444,108005631,Blovice,49.582334,13.532377,17.76159063619844,1576,1
103,6281,CZ0324,558095.0,Nekvasovy,169.0,49.434553,13.6257444,69264,Březnice,49.561728,13.94676,27.155689375089278,2483,1
104,6873,CZ0322,556343.0,Chlistov,142.0,49.319891,13.3608767,76996,Klatovy,49.39138,13.299009,9.125198420947289,725,1
105,6874,CZ0322,556343.0,Chlistov,142.0,49.319891,13.3608767,77143,Klatovy,49.401197,13.285167,10.57352938775179,915,1
106,6875,CZ0322,556343.0,Chlistov,142.0,49.319891,13.3608767,77003,Sušice,49.234701,13.521241,15.002262146394914,1290,1
107,6876,CZ0322,556343.0,Chlistov,142.0,49.319891,13.3608767,77232,Klatovy,49.394499,13.295734,9.543795518923831,768,1
108,6877,CZ0322,556343.0,Chlistov,142.0,49.319891,13.3608767,77313,Klatovy,49.390677,13.300219,9.01416230327334,708,1
109,7675,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,48342912,Domažlice,49.441922,12.92566,28.984943552010105,2439,1
110,7676,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,48342939,Domažlice,49.444659,12.921506,29.04204270365824,2464,1
111,7677,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,18230083,Domažlice,49.448316,12.933446,28.10698057571444,2303,1
112,7678,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,76996,Klatovy,49.39138,13.299009,23.4832354580152,1974,1
113,7679,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,77143,Klatovy,49.401197,13.285167,22.256109113779434,1864,1
114,7681,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,77232,Klatovy,49.394499,13.295734,23.10277755746532,1888,1
115,7682,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,77313,Klatovy,49.390677,13.300219,23.57488005066281,1948,1
116,7683,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,49778137,Plzeň,49.742957,13.334314,17.17154410854015,1681,1
117,7684,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,574406,Plzeň,49.725431,13.363246,16.358099197258767,1424,1
118,7685,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,49774301,Plzeň,49.732541,13.404855,18.711238660571244,1727,1
119,7686,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,49778099,Plzeň,49.741813,13.373587,18.303315794904844,1609,1
120,7687,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,49778102,Plzeň,49.751505,13.413613,20.776934035987487,2017,1
121,7688,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,49778145,Plzeň,49.739551,13.387443,18.615322009297817,1730,1
122,7689,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,49778161,Plzeň,49.741232,13.372985,18.2257093282159,1586,1
123,7690,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,520152,Plzeň,49.742189,13.366755,18.09695376734393,1604,1
124,7691,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,49775961,Plzeň,49.770902,13.370677,21.067756260383916,2031,1
125,7692,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,49776541,Plzeň,49.729175,13.371946,17.04169386436561,1429,1
126,7693,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,110037545,Plzeň,49.758271,13.339468,18.891712113785285,1851,1
127,7694,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,49777149,Plzeň,49.75016,13.37876,19.29267583779716,1791,1
128,7695,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,49778064,Plzeň,49.73772,13.37167,17.841271826877374,1544,1
129,7696,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,108005631,Blovice,49.582334,13.532377,20.780750058428723,1773,1
130,7697,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,108005623,Plzeň,49.738348,13.396255,18.861699200723148,1852,1
131,7700,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,102100675,Stříbro,49.759561,13.000928,25.00591406790912,2087,1
132,7701,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,77348,Stříbro,49.754141,12.997562,24.75561161451052,2027,1
133,7702,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,523925,Plzeň,49.741343,13.375324,18.321738220704862,1612,1
134,7704,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,110100549,Plzeň,49.76905,13.360222,20.56825642260667,2060,1
135,7705,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,110100590,Plzeň,49.742957,13.334314,17.17154410854015,1681,1
136,7706,CZ0324,530131.0,Přestavlky,235.0,49.599671,13.245323,181121379,Plzeň,49.745774,13.36506,18.38942057052789,1655,1
137,8488,CZ0325,559164.0,Líně,2791.0,49.6947189,13.2569297,49778137,Plzeň,49.742957,13.334314,7.727946922305604,644,2
138,8489,CZ0325,559164.0,Líně,2791.0,49.6947189,13.2569297,574406,Plzeň,49.725431,13.363246,8.37277492752263,840,2
139,8490,CZ0325,559164.0,Líně,2791.0,49.6947189,13.2569297,49774301,Plzeň,49.732541,13.404855,11.437092507117312,1224,2
140,8491,CZ0325,559164.0,Líně,2791.0,49.6947189,13.2569297,49778099,Plzeň,49.741813,13.373587,9.887418003051602,838,2
141,8492,CZ0325,559164.0,Líně,2791.0,49.6947189,13.2569297,49778102,Plzeň,49.751505,13.413613,12.912480033185949,1170,2
142,8493,CZ0325,559164.0,Líně,2791.0,49.6947189,13.2569297,49778145,Plzeň,49.739551,13.387443,10.625226272942903,951,2
